Plano,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO
Amil - Bi Zetta,84,74,10,"ALMADA_PARTICIPACOES_STYLOS ,CONSELHO_FEDERAL_DA_OAB ,DIGISYSTEM ,E-LAW ,FUNDACAO_LICEU_PASTEUR ,GLORY_GLOBAL ,GO_FURTHER ,KASLO ,METAL_WORKS ,TCT_BRASIL","ACTOS ,AGROTIN ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,GENCO ,GLOBALWEB_GWO ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL"
Amil - Envio Relatórios,84,0,84,"ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DIGISYSTEM ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GLORY_GLOBAL ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,METAL_WORKS ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",Nenhuma
Amil - Quiver - Anexar Relatório de Sinistralidade,84,0,84,"ACTOS ,AGROTIN ,ALMADA_PARTICIPACOES_STYLOS ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSELHO_FEDERAL_DA_OAB ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DIGISYSTEM ,DISAL ,E-LAW ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,FUNDACAO_LICEU_PASTEUR ,GENCO ,GLOBALWEB_GWO ,GLORY_GLOBAL ,GO_FURTHER ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KASLO ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,METAL_WORKS ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TCT_BRASIL ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",Nenhuma
Bradesco - Arquivo de Cadastro/Faturamento,4,3,1,MPD,"CNA ,TWD08170 ,TWM08170"
Bradesco - Base Aberta de Sinistro,2,2,0,Nenhuma,"CNA ,MPD"
Bradesco - Relatório Gerencial de Sinistralidade,2,2,0,Nenhuma,"CNA ,MPD"
Bradesco - Bi Zetta,2,1,1,MPD,CNA
Bradesco - Envio Relatório de Sinistralidade,2,0,2,"CNA ,MPD",Nenhuma
Bradesco - Quiver - Anexar Relatório de Sinistralidade,2,0,2,"CNA ,MPD",Nenhuma
Seguros Unimed - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,FCTH
Seguros Unimed - Base Aberta de Sinistro,1,1,0,Nenhuma,FCTH
Seguros Unimed - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,FCTH
